maximum_nights,extra_people,guests_included,beds,availability_365,accommodates,bedrooms,host_listings_count,host_for,number_of_reviews_ltm,minimum_nights,bathrooms,secure,cleaning_fee,room_type_private_room,host_acceptance_rate,elevator,white_goods,host_response_rate,security_deposit,government,review_scores_value,area_name_salamanca,area_name_san_blas,price
365,10.0,1,1.0,320,2,1.0,1.0,3125,13,2,0.5,0.0,1.0,1,3.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,33.0
365,35.0,1,1.0,317,1,1.0,1.0,3126,11,25,1.0,0.0,0.0,1,1.0,1.0,1.0,3.0,1.0,0.0,10.0,0,0,25.0
365,10.0,2,2.0,316,3,1.0,8.0,3135,44,2,2.0,0.0,1.0,0,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,55.0
30,0.0,1,1.0,12,1,1.0,1.0,3117,0,1,1.0,0.0,1.0,1,1.0,0.0,0.0,2.0,1.0,1.0,9.0,0,0,25.0
30,0.0,1,2.0,48,2,1.0,2.0,3240,1,5,0.0,0.0,1.0,1,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,25.0
300,30.0,2,9.0,351,12,3.0,13.0,2980,23,2,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,80.0
1125,20.0,5,3.0,133,4,2.0,2.0,3083,4,5,1.5,0.0,0.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,100.0
365,7.0,2,1.0,228,4,1.0,1.0,3079,3,7,1.0,0.0,0.0,0,3.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,85.0
365,30.0,3,4.0,317,5,4.0,5.0,3083,25,2,1.5,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,150.0
20,10.0,1,1.0,110,2,1.0,1.0,3077,80,1,1.0,0.0,1.0,0,4.0,0.0,0.0,4.0,1.0,1.0,9.0,0,0,78.0
365,30.0,2,2.0,267,3,2.0,5.0,3083,25,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,80.0
365,10.0,2,3.0,0,4,1.0,2.0,3068,2,2,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,0.0,1.0,9.0,0,0,75.0
365,15.0,2,1.0,285,4,1.0,32.0,3249,11,5,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,90.0
